Shippment ID;Shipping Type;Frequency of Purchases
1994;Express;Monthly
1475;Express;Bi-Weekly
1860;Standard;Bi-Weekly
1617;Store Pickup;Every 3 Months
1456;2-Day Shipping;Fortnightly
1616;Store Pickup;Bi-Weekly
3780;Standard;Fortnightly
3762;Standard;Bi-Weekly
2191;Store Pickup;Monthly
2583;Express;Monthly
2360;Store Pickup;Fortnightly
737;Free Shipping;Weekly
1020;Express;Quarterly
3829;Free Shipping;Fortnightly
3783;Next Day Air;Monthly
1857;Store Pickup;Every 3 Months
2535;2-Day Shipping;Every 3 Months
486;Express;Bi-Weekly
1056;Next Day Air;Fortnightly
2836;Express;Bi-Weekly
3871;Store Pickup;Every 3 Months
438;Next Day Air;Quarterly
1868;Store Pickup;Every 3 Months
1334;Express;Every 3 Months
3822;Standard;Monthly
126;Free Shipping;Quarterly
508;Express;Monthly
3728;2-Day Shipping;Monthly
600;2-Day Shipping;Quarterly
2855;Standard;Every 3 Months
997;Free Shipping;Monthly
2190;2-Day Shipping;Quarterly
1135;Store Pickup;Quarterly
1088;Free Shipping;Bi-Weekly
1840;Standard;Fortnightly
1963;Standard;Quarterly
757;Next Day Air;Quarterly
1930;Standard;Fortnightly
1758;2-Day Shipping;Weekly
1014;Next Day Air;Bi-Weekly
1916;Store Pickup;Annually
1911;Express;Annually
1248;Store Pickup;Weekly
3426;Next Day Air;Quarterly
2844;Express;Monthly
3898;Free Shipping;Monthly
1078;Next Day Air;Weekly
2605;Standard;Weekly
669;2-Day Shipping;Quarterly
966;2-Day Shipping;Monthly
221;2-Day Shipping;Weekly
3544;Express;Every 3 Months
2758;Express;Bi-Weekly
3754;Standard;Weekly
239;Store Pickup;Monthly
3764;Free Shipping;Every 3 Months
2906;Next Day Air;Quarterly
3052;Standard;Monthly
1712;Free Shipping;Bi-Weekly
2362;Free Shipping;Bi-Weekly
2626;Express;Annually
3856;Store Pickup;Monthly
2536;Express;Weekly
3202;2-Day Shipping;Fortnightly
2399;Store Pickup;Monthly
254;Store Pickup;Weekly
1885;Standard;Bi-Weekly
1829;Express;Weekly
500;Store Pickup;Weekly
2049;Express;Monthly
98;2-Day Shipping;Weekly
1999;Standard;Quarterly
1484;Express;Fortnightly
2160;Next Day Air;Bi-Weekly
3069;Standard;Monthly
3686;Express;Bi-Weekly
308;Standard;Fortnightly
1426;Store Pickup;Bi-Weekly
1510;Store Pickup;Bi-Weekly
366;2-Day Shipping;Annually
718;Store Pickup;Bi-Weekly
1165;Next Day Air;Quarterly
713;Standard;Annually
2198;Store Pickup;Annually
611;Express;Annually
3224;2-Day Shipping;Fortnightly
2540;Next Day Air;Fortnightly
2069;Express;Annually
1278;2-Day Shipping;Bi-Weekly
3687;Standard;Fortnightly
2595;Standard;Weekly
3379;Express;Every 3 Months
3339;Express;Annually
2265;Next Day Air;Weekly
3667;Standard;Bi-Weekly
1489;Express;Annually
291;2-Day Shipping;Weekly
2561;Store Pickup;Annually
1502;Free Shipping;Every 3 Months
1725;Free Shipping;Quarterly
2979;Free Shipping;Annually
1328;Express;Bi-Weekly
2386;Next Day Air;Monthly
3656;Standard;Fortnightly
1187;2-Day Shipping;Bi-Weekly
1852;Next Day Air;Quarterly
238;Free Shipping;Quarterly
782;Free Shipping;Quarterly
1547;Free Shipping;Quarterly
1511;Next Day Air;Weekly
3204;Express;Annually
3749;2-Day Shipping;Monthly
2962;Standard;Quarterly
3858;Express;Weekly
1823;Standard;Monthly
1802;Next Day Air;Fortnightly
990;Next Day Air;Fortnightly
3752;Next Day Air;Weekly
3547;2-Day Shipping;Fortnightly
1975;Next Day Air;Every 3 Months
468;2-Day Shipping;Bi-Weekly
2108;Standard;Annually
1775;Standard;Fortnightly
1961;Standard;Fortnightly
2109;Store Pickup;Quarterly
1571;Next Day Air;Monthly
1423;Free Shipping;Annually
3154;2-Day Shipping;Fortnightly
1314;2-Day Shipping;Bi-Weekly
3588;Express;Quarterly
3397;Next Day Air;Annually
2238;2-Day Shipping;Fortnightly
889;2-Day Shipping;Weekly
3179;Next Day Air;Every 3 Months
2999;Standard;Monthly
367;Next Day Air;Every 3 Months
142;Free Shipping;Every 3 Months
1580;Next Day Air;Every 3 Months
1157;Free Shipping;Monthly
417;Express;Every 3 Months
989;Store Pickup;Every 3 Months
577;Store Pickup;Bi-Weekly
1416;2-Day Shipping;Quarterly
2364;Standard;Weekly
1989;Next Day Air;Every 3 Months
14;Free Shipping;Weekly
3258;Express;Monthly
1544;Express;Fortnightly
772;Store Pickup;Monthly
3134;Standard;Fortnightly
3615;Next Day Air;Bi-Weekly
1561;Standard;Bi-Weekly
659;Standard;Quarterly
1615;Express;Fortnightly
2940;Free Shipping;Monthly
2685;Express;Every 3 Months
1812;Standard;Annually
2329;Next Day Air;Quarterly
2990;Store Pickup;Weekly
3275;Next Day Air;Quarterly
1459;Store Pickup;Fortnightly
2937;Free Shipping;Bi-Weekly
2391;Next Day Air;Monthly
568;Free Shipping;Weekly
3900;Next Day Air;Bi-Weekly
1218;Store Pickup;Fortnightly
2028;Store Pickup;Fortnightly
2478;2-Day Shipping;Quarterly
492;2-Day Shipping;Every 3 Months
3474;Next Day Air;Quarterly
3590;Free Shipping;Quarterly
3620;Standard;Annually
2901;Store Pickup;Weekly
3357;Next Day Air;Weekly
2349;Next Day Air;Fortnightly
1991;Express;Weekly
3492;Free Shipping;Fortnightly
1028;Express;Fortnightly
3124;Free Shipping;Bi-Weekly
1497;Express;Quarterly
2633;Next Day Air;Every 3 Months
2067;Store Pickup;Fortnightly
3176;Store Pickup;Weekly
3285;Standard;Fortnightly
2173;Next Day Air;Weekly
553;Standard;Bi-Weekly
2147;Next Day Air;Bi-Weekly
1307;Free Shipping;Quarterly
3344;Next Day Air;Bi-Weekly
3700;Next Day Air;Every 3 Months
3401;2-Day Shipping;Weekly
3791;Express;Fortnightly
203;Store Pickup;Monthly
2603;Standard;Every 3 Months
450;Standard;Weekly
809;Next Day Air;Monthly
2646;Express;Quarterly
2516;2-Day Shipping;Annually
563;Store Pickup;Monthly
2918;Express;Quarterly
153;2-Day Shipping;Weekly
3021;Standard;Fortnightly
1103;Store Pickup;Monthly
2526;Next Day Air;Monthly
3060;Express;Fortnightly
3283;Standard;Bi-Weekly
3751;Express;Monthly
1643;Store Pickup;Fortnightly
3298;2-Day Shipping;Weekly
3518;Express;Every 3 Months
712;2-Day Shipping;Quarterly
3680;Free Shipping;Monthly
1284;2-Day Shipping;Every 3 Months
959;Express;Fortnightly
3238;Standard;Bi-Weekly
1521;Store Pickup;Every 3 Months
1386;Next Day Air;Fortnightly
2506;Store Pickup;Bi-Weekly
2556;Standard;Quarterly
1340;2-Day Shipping;Fortnightly
1854;Express;Every 3 Months
1610;Standard;Every 3 Months
3669;Next Day Air;Annually
2134;Store Pickup;Fortnightly
607;Store Pickup;Annually
340;Next Day Air;Bi-Weekly
1054;Express;Weekly
3200;Standard;Every 3 Months
100;Free Shipping;Quarterly
1925;2-Day Shipping;Bi-Weekly
2096;Express;Quarterly
3849;Express;Every 3 Months
3100;Standard;Quarterly
157;2-Day Shipping;Annually
1716;2-Day Shipping;Every 3 Months
2637;Next Day Air;Bi-Weekly
3655;2-Day Shipping;Monthly
885;Express;Weekly
3247;2-Day Shipping;Monthly
941;Standard;Quarterly
174;Next Day Air;Every 3 Months
2543;Store Pickup;Fortnightly
2798;Free Shipping;Quarterly
2659;Standard;Fortnightly
3816;2-Day Shipping;Annually
1932;Express;Bi-Weekly
3003;Next Day Air;Annually
2007;Store Pickup;Bi-Weekly
1590;Express;Bi-Weekly
271;Express;Bi-Weekly
3773;Store Pickup;Quarterly
2221;Free Shipping;Quarterly
3185;Standard;Monthly
3032;Express;Annually
240;Free Shipping;Annually
2992;Standard;Monthly
2141;Free Shipping;Quarterly
2301;Express;Quarterly
2928;2-Day Shipping;Weekly
2881;Express;Annually
821;Standard;Monthly
1798;2-Day Shipping;Annually
2401;Express;Every 3 Months
3668;Next Day Air;Weekly
2431;Free Shipping;Annually
432;Next Day Air;Weekly
539;Free Shipping;Quarterly
1374;2-Day Shipping;Quarterly
1656;2-Day Shipping;Fortnightly
1815;2-Day Shipping;Fortnightly
216;2-Day Shipping;Monthly
1171;2-Day Shipping;Bi-Weekly
2000;Standard;Annually
1727;2-Day Shipping;Annually
623;Free Shipping;Weekly
3307;Store Pickup;Weekly
2790;2-Day Shipping;Fortnightly
752;Standard;Every 3 Months
252;Free Shipping;Annually
3826;2-Day Shipping;Every 3 Months
2707;Standard;Fortnightly
3369;Free Shipping;Every 3 Months
3647;Next Day Air;Every 3 Months
603;2-Day Shipping;Annually
1766;Next Day Air;Monthly
2066;Next Day Air;Quarterly
667;Store Pickup;Every 3 Months
2354;Free Shipping;Weekly
51;Express;Every 3 Months
181;Free Shipping;Every 3 Months
1509;2-Day Shipping;Every 3 Months
1983;Free Shipping;Every 3 Months
794;Free Shipping;Every 3 Months
2513;Store Pickup;Every 3 Months
2820;Next Day Air;Bi-Weekly
306;Express;Quarterly
326;Standard;Quarterly
79;Store Pickup;Annually
256;Free Shipping;Weekly
1498;Store Pickup;Weekly
1875;Free Shipping;Weekly
2761;Store Pickup;Bi-Weekly
2149;Store Pickup;Bi-Weekly
2010;Express;Annually
810;Express;Annually
124;Standard;Monthly
1447;2-Day Shipping;Fortnightly
958;Free Shipping;Every 3 Months
458;Next Day Air;Every 3 Months
1907;Store Pickup;Bi-Weekly
1710;Store Pickup;Every 3 Months
774;Store Pickup;Every 3 Months
893;2-Day Shipping;Quarterly
1693;Express;Fortnightly
233;Standard;Every 3 Months
2883;Store Pickup;Annually
2331;Express;Weekly
2201;Next Day Air;Quarterly
2444;Store Pickup;Annually
3611;2-Day Shipping;Monthly
408;Standard;Weekly
3654;Standard;Monthly
1391;Express;Bi-Weekly
2388;Free Shipping;Annually
3820;Express;Fortnightly
1474;Free Shipping;Monthly
156;Next Day Air;Monthly
50;Standard;Quarterly
825;Express;Annually
1728;2-Day Shipping;Bi-Weekly
2913;Standard;Fortnightly
703;Express;Fortnightly
3645;Free Shipping;Every 3 Months
2845;2-Day Shipping;Every 3 Months
1973;Standard;Monthly
888;Store Pickup;Quarterly
2305;Next Day Air;Fortnightly
1134;Store Pickup;Monthly
795;2-Day Shipping;Bi-Weekly
3095;Next Day Air;Bi-Weekly
3225;Next Day Air;Weekly
910;Standard;Every 3 Months
2045;Standard;Weekly
2964;Next Day Air;Bi-Weekly
3354;Standard;Quarterly
3098;Standard;Annually
1630;Store Pickup;Annually
453;Express;Monthly
2608;Next Day Air;Every 3 Months
2043;2-Day Shipping;Quarterly
848;Standard;Monthly
383;Next Day Air;Weekly
3713;Express;Quarterly
77;Next Day Air;Fortnightly
2938;Express;Annually
3507;2-Day Shipping;Every 3 Months
971;Store Pickup;Bi-Weekly
3033;Free Shipping;Monthly
2395;2-Day Shipping;Every 3 Months
1694;Express;Fortnightly
833;Next Day Air;Fortnightly
1200;Next Day Air;Fortnightly
522;Standard;Monthly
316;Standard;Bi-Weekly
3125;Next Day Air;Weekly
1739;Free Shipping;Annually
128;2-Day Shipping;Fortnightly
1861;Free Shipping;Annually
1554;Standard;Annually
2463;Standard;Every 3 Months
262;Standard;Weekly
3438;Express;Bi-Weekly
3262;Standard;Annually
2580;Free Shipping;Fortnightly
1979;2-Day Shipping;Bi-Weekly
2168;Next Day Air;Every 3 Months
783;Express;Weekly
1086;Next Day Air;Monthly
57;Next Day Air;Annually
1879;2-Day Shipping;Every 3 Months
284;Express;Every 3 Months
858;Next Day Air;Annually
956;Express;Annually
2088;Next Day Air;Every 3 Months
3883;Store Pickup;Quarterly
319;Store Pickup;Every 3 Months
2376;Express;Annually
2092;Store Pickup;Monthly
1136;Free Shipping;Bi-Weekly
3778;Free Shipping;Annually
3065;2-Day Shipping;Quarterly
519;Standard;Bi-Weekly
1371;Free Shipping;Monthly
564;Express;Bi-Weekly
1769;Standard;Weekly
1449;Free Shipping;Annually
3653;Express;Every 3 Months
3833;Next Day Air;Quarterly
3601;Standard;Every 3 Months
645;Free Shipping;Fortnightly
837;Express;Monthly
3260;Free Shipping;Monthly
1398;Standard;Weekly
3331;Standard;Weekly
2644;Express;Every 3 Months
1193;Standard;Bi-Weekly
1767;Standard;Bi-Weekly
12;Store Pickup;Quarterly
3166;Next Day Air;Quarterly
3394;Store Pickup;Monthly
2822;2-Day Shipping;Weekly
3066;Store Pickup;Fortnightly
1652;Express;Bi-Weekly
314;Standard;Fortnightly
2803;Next Day Air;Every 3 Months
2740;Next Day Air;Every 3 Months
1780;Standard;Quarterly
905;2-Day Shipping;Monthly
3522;Standard;Monthly
3242;Next Day Air;Annually
3854;Standard;Weekly
1809;Free Shipping;Bi-Weekly
3289;2-Day Shipping;Monthly
3118;Standard;Fortnightly
2275;Next Day Air;Bi-Weekly
1604;Next Day Air;Every 3 Months
42;2-Day Shipping;Quarterly
2445;Next Day Air;Bi-Weekly
745;Next Day Air;Every 3 Months
2080;2-Day Shipping;Quarterly
210;2-Day Shipping;Bi-Weekly
852;Free Shipping;Annually
1688;Next Day Air;Quarterly
868;Store Pickup;Every 3 Months
1553;Store Pickup;Fortnightly
2566;Express;Annually
904;Next Day Air;Monthly
1003;Express;Weekly
2409;Express;Quarterly
2634;Express;Every 3 Months
3380;Store Pickup;Fortnightly
2953;Free Shipping;Fortnightly
2697;Express;Quarterly
2055;Express;Weekly
3374;Standard;Fortnightly
1839;2-Day Shipping;Every 3 Months
3725;Store Pickup;Monthly
1163;2-Day Shipping;Bi-Weekly
2125;Store Pickup;Quarterly
661;Free Shipping;Quarterly
2245;2-Day Shipping;Annually
1353;Free Shipping;Annually
640;Next Day Air;Monthly
1972;Free Shipping;Weekly
2291;2-Day Shipping;Bi-Weekly
3574;Standard;Fortnightly
2616;Standard;Quarterly
1063;Express;Quarterly
3464;Express;Monthly
1941;Standard;Weekly
2585;Store Pickup;Bi-Weekly
2578;Next Day Air;Quarterly
375;Standard;Monthly
2377;Express;Quarterly
3309;Store Pickup;Fortnightly
134;Standard;Weekly
830;Express;Annually
3706;Express;Every 3 Months
2281;Express;Fortnightly
3443;Next Day Air;Weekly
3338;Next Day Air;Bi-Weekly
2192;Next Day Air;Monthly
2087;Store Pickup;Annually
84;Free Shipping;Weekly
1411;Store Pickup;Annually
785;Next Day Air;Every 3 Months
516;2-Day Shipping;Weekly
3404;Express;Monthly
1099;Store Pickup;Bi-Weekly
138;Next Day Air;Weekly
392;Store Pickup;Monthly
2040;Express;Monthly
639;Express;Annually
3014;Free Shipping;Weekly
2264;Standard;Fortnightly
2286;Store Pickup;Annually
1816;Store Pickup;Quarterly
3048;2-Day Shipping;Annually
113;Store Pickup;Quarterly
923;Store Pickup;Bi-Weekly
3714;Free Shipping;Every 3 Months
3150;Free Shipping;Quarterly
1595;Standard;Fortnightly
1955;2-Day Shipping;Every 3 Months
605;Free Shipping;Quarterly
1264;Store Pickup;Every 3 Months
1681;Standard;Fortnightly
710;Free Shipping;Bi-Weekly
2452;Free Shipping;Every 3 Months
3624;Standard;Every 3 Months
3855;Next Day Air;Annually
771;Free Shipping;Every 3 Months
1380;Store Pickup;Annually
1430;Express;Quarterly
1266;Standard;Every 3 Months
2385;Free Shipping;Fortnightly
3270;Express;Quarterly
1518;Express;Quarterly
2053;Next Day Air;Weekly
3377;Free Shipping;Bi-Weekly
2591;Standard;Weekly
503;Free Shipping;Fortnightly
960;Free Shipping;Annually
487;Standard;Monthly
1482;Next Day Air;Fortnightly
1384;Standard;Monthly
3236;Free Shipping;Every 3 Months
397;2-Day Shipping;Annually
2791;Next Day Air;Monthly
3670;Express;Quarterly
1214;2-Day Shipping;Annually
2986;Express;Quarterly
2157;Next Day Air;Monthly
2575;Free Shipping;Every 3 Months
895;Store Pickup;Every 3 Months
1232;Free Shipping;Quarterly
3808;Next Day Air;Quarterly
3216;2-Day Shipping;Quarterly
65;2-Day Shipping;Fortnightly
3337;Free Shipping;Annually
305;Express;Every 3 Months
2669;Store Pickup;Every 3 Months
1483;Express;Fortnightly
3387;2-Day Shipping;Weekly
2014;Express;Fortnightly
2783;Standard;Bi-Weekly
749;2-Day Shipping;Quarterly
243;2-Day Shipping;Quarterly
2560;Store Pickup;Monthly
1783;2-Day Shipping;Quarterly
1358;Store Pickup;Bi-Weekly
1922;Store Pickup;Annually
775;Store Pickup;Fortnightly
628;Express;Fortnightly
3268;Standard;Every 3 Months
2944;Next Day Air;Every 3 Months
2068;2-Day Shipping;Every 3 Months
3681;Store Pickup;Weekly
2121;Express;Every 3 Months
3582;Next Day Air;Monthly
2806;Express;Monthly
2496;Next Day Air;Monthly
1598;Standard;Every 3 Months
373;Free Shipping;Bi-Weekly
49;Standard;Weekly
689;Express;Quarterly
2438;Standard;Quarterly
424;2-Day Shipping;Weekly
1968;Next Day Air;Bi-Weekly
1207;Store Pickup;Every 3 Months
2569;Standard;Fortnightly
190;Free Shipping;Every 3 Months
1669;Store Pickup;Annually
3121;Standard;Weekly
3600;Next Day Air;Quarterly
1429;Express;Bi-Weekly
3189;Free Shipping;Quarterly
806;Free Shipping;Quarterly
2777;Standard;Quarterly
3184;Next Day Air;Fortnightly
1692;Next Day Air;Weekly
878;Standard;Bi-Weekly
3553;2-Day Shipping;Every 3 Months
108;Standard;Fortnightly
1236;Free Shipping;Every 3 Months
2769;Next Day Air;Monthly
255;Standard;Every 3 Months
1516;Store Pickup;Fortnightly
3882;2-Day Shipping;Quarterly
3612;Next Day Air;Monthly
122;Express;Monthly
3372;2-Day Shipping;Quarterly
3811;2-Day Shipping;Annually
2842;Store Pickup;Every 3 Months
3045;Free Shipping;Annually
1140;Free Shipping;Annually
3502;Express;Weekly
463;Standard;Bi-Weekly
2623;Free Shipping;Monthly
999;2-Day Shipping;Weekly
2869;2-Day Shipping;Weekly
3555;Express;Bi-Weekly
3850;Standard;Quarterly
3841;Next Day Air;Fortnightly
3632;Next Day Air;Weekly
788;2-Day Shipping;Quarterly
2572;2-Day Shipping;Weekly
2776;Free Shipping;Monthly
2406;2-Day Shipping;Annually
1468;Free Shipping;Bi-Weekly
558;2-Day Shipping;Fortnightly
961;Next Day Air;Monthly
1746;2-Day Shipping;Fortnightly
473;Store Pickup;Bi-Weekly
2472;Free Shipping;Bi-Weekly
993;Next Day Air;Quarterly
3170;Next Day Air;Bi-Weekly
3116;Next Day Air;Every 3 Months
541;2-Day Shipping;Quarterly
1349;Free Shipping;Fortnightly
2034;2-Day Shipping;Monthly
1465;Store Pickup;Quarterly
2909;Next Day Air;Annually
3642;Standard;Bi-Weekly
3430;2-Day Shipping;Every 3 Months
2996;Next Day Air;Monthly
1680;Store Pickup;Bi-Weekly
3657;Next Day Air;Weekly
2254;Standard;Annually
2314;Standard;Bi-Weekly
2350;Store Pickup;Annually
3635;Express;Annually
3310;Standard;Quarterly
1215;Store Pickup;Weekly
1082;2-Day Shipping;Every 3 Months
1997;Free Shipping;Quarterly
524;2-Day Shipping;Monthly
3819;Express;Monthly
1835;Free Shipping;Quarterly
1269;Standard;Bi-Weekly
133;Free Shipping;Quarterly
2091;Standard;Quarterly
1367;Next Day Air;Quarterly
171;Express;Every 3 Months
1869;Store Pickup;Fortnightly
2148;Free Shipping;Weekly
924;Standard;Quarterly
1549;Next Day Air;Bi-Weekly
518;Next Day Air;Weekly
337;Next Day Air;Every 3 Months
2041;Free Shipping;Annually
691;Free Shipping;Bi-Weekly
1114;Standard;Monthly
657;Store Pickup;Monthly
3248;Standard;Weekly
717;Next Day Air;Every 3 Months
1966;Next Day Air;Fortnightly
2348;2-Day Shipping;Monthly
1228;2-Day Shipping;Weekly
569;Free Shipping;Bi-Weekly
3726;Next Day Air;Fortnightly
2392;2-Day Shipping;Monthly
1147;Standard;Fortnightly
3860;2-Day Shipping;Quarterly
1785;Free Shipping;Monthly
2592;Standard;Annually
2332;Free Shipping;Quarterly
1684;Next Day Air;Monthly
1333;Next Day Air;Annually
1750;Store Pickup;Quarterly
2829;Next Day Air;Fortnightly
2725;Express;Weekly
1678;Free Shipping;Fortnightly
449;Next Day Air;Monthly
1687;Store Pickup;Weekly
232;Free Shipping;Annually
3736;Next Day Air;Annually
834;Free Shipping;Every 3 Months
1150;2-Day Shipping;Monthly
2103;Store Pickup;Fortnightly
1404;Standard;Fortnightly
2131;Store Pickup;Monthly
2771;Store Pickup;Quarterly
1574;Express;Bi-Weekly
141;2-Day Shipping;Bi-Weekly
3584;Next Day Air;Weekly
1940;Store Pickup;Monthly
3090;Free Shipping;Fortnightly
111;Next Day Air;Bi-Weekly
2433;2-Day Shipping;Every 3 Months
2356;Next Day Air;Bi-Weekly
1221;Standard;Fortnightly
655;Free Shipping;Quarterly
1169;Next Day Air;Bi-Weekly
944;Standard;Monthly
149;2-Day Shipping;Annually
2721;Next Day Air;Monthly
2493;Standard;Monthly
2987;Next Day Air;Fortnightly
325;Free Shipping;Bi-Weekly
1609;Standard;Bi-Weekly
1633;Standard;Quarterly
3398;Standard;Fortnightly
902;Standard;Quarterly
3548;Store Pickup;Bi-Weekly
3235;2-Day Shipping;Every 3 Months
808;2-Day Shipping;Fortnightly
2029;Store Pickup;Every 3 Months
827;Next Day Air;Annually
608;Free Shipping;Every 3 Months
2;Next Day Air;Bi-Weekly
3448;Next Day Air;Bi-Weekly
2083;Next Day Air;Annually
276;Next Day Air;Monthly
3665;Next Day Air;Quarterly
3491;Store Pickup;Every 3 Months
1514;2-Day Shipping;Fortnightly
3074;2-Day Shipping;Every 3 Months
69;2-Day Shipping;Bi-Weekly
3887;Store Pickup;Every 3 Months
3541;Standard;Annually
2888;Free Shipping;Fortnightly
3010;Next Day Air;Fortnightly
2487;Free Shipping;Weekly
2978;Free Shipping;Annually
861;2-Day Shipping;Weekly
1273;Free Shipping;Every 3 Months
3651;Store Pickup;Fortnightly
2823;2-Day Shipping;Monthly
789;Next Day Air;Monthly
2484;Standard;Every 3 Months
3215;Standard;Every 3 Months
1455;Store Pickup;Quarterly
2366;Express;Monthly
407;Free Shipping;Quarterly
2675;Next Day Air;Fortnightly
870;Standard;Monthly
3168;Next Day Air;Fortnightly
2692;2-Day Shipping;Bi-Weekly
543;Store Pickup;Quarterly
2284;Next Day Air;Monthly
1222;2-Day Shipping;Every 3 Months
829;Store Pickup;Bi-Weekly
2359;Store Pickup;Weekly
3000;Next Day Air;Annually
819;Standard;Monthly
1077;2-Day Shipping;Quarterly
1517;Free Shipping;Fortnightly
1108;Standard;Bi-Weekly
1111;Next Day Air;Weekly
2367;Next Day Air;Monthly
393;Store Pickup;Annually
3894;2-Day Shipping;Every 3 Months
204;Standard;Fortnightly
2344;Store Pickup;Quarterly
1631;Free Shipping;Weekly
3699;Free Shipping;Weekly
505;Free Shipping;Quarterly
73;Next Day Air;Bi-Weekly
150;Free Shipping;Fortnightly
3759;Next Day Air;Annually
3280;Next Day Air;Weekly
2056;Next Day Air;Weekly
840;2-Day Shipping;Fortnightly
3705;Next Day Air;Bi-Weekly
3145;Store Pickup;Annually
1208;2-Day Shipping;Bi-Weekly
2622;2-Day Shipping;Bi-Weekly
571;Next Day Air;Quarterly
1936;Standard;Weekly
3568;Standard;Bi-Weekly
406;Store Pickup;Annually
1855;Free Shipping;Annually
942;Next Day Air;Fortnightly
1897;Store Pickup;Monthly
1274;Free Shipping;Annually
2932;Next Day Air;Annually
3229;Standard;Bi-Weekly
561;Standard;Fortnightly
2759;Express;Fortnightly
168;2-Day Shipping;Fortnightly
2228;Free Shipping;Bi-Weekly
3454;Next Day Air;Every 3 Months
2272;Standard;Quarterly
2968;Free Shipping;Annually
1664;Express;Monthly
1563;Next Day Air;Every 3 Months
3722;Express;Weekly
1743;Next Day Air;Annually
2429;Store Pickup;Every 3 Months
1242;2-Day Shipping;Bi-Weekly
1569;Standard;Fortnightly
356;2-Day Shipping;Bi-Weekly
1191;Express;Quarterly
3325;Standard;Annually
198;Store Pickup;Quarterly
2963;Express;Monthly
2365;2-Day Shipping;Fortnightly
937;Free Shipping;Quarterly
83;Standard;Monthly
2086;2-Day Shipping;Bi-Weekly
178;Standard;Every 3 Months
3875;Express;Bi-Weekly
3055;2-Day Shipping;Every 3 Months
976;Free Shipping;Quarterly
2773;Express;Bi-Weekly
2960;Free Shipping;Monthly
3460;Standard;Fortnightly
2542;Standard;Annually
787;Free Shipping;Weekly
2270;Next Day Air;Quarterly
387;Express;Weekly
1451;Express;Monthly
112;Express;Every 3 Months
2389;Store Pickup;Fortnightly
3424;Free Shipping;Weekly
530;Next Day Air;Monthly
750;Free Shipping;Every 3 Months
1027;Express;Annually
343;Next Day Air;Quarterly
1862;Express;Annually
2891;2-Day Shipping;Quarterly
653;Store Pickup;Bi-Weekly
3527;2-Day Shipping;Weekly
1209;Express;Weekly
1198;Next Day Air;Every 3 Months
3763;Next Day Air;Monthly
1594;Express;Every 3 Months
3004;Standard;Weekly
1677;Standard;Weekly
3211;Store Pickup;Weekly
2895;Store Pickup;Fortnightly
2411;Express;Quarterly
376;2-Day Shipping;Annually
2165;2-Day Shipping;Every 3 Months
3723;Express;Every 3 Months
1089;2-Day Shipping;Annually
3205;Store Pickup;Quarterly
3472;Next Day Air;Fortnightly
3015;2-Day Shipping;Fortnightly
3214;Next Day Air;Monthly
3250;Free Shipping;Weekly
2112;Standard;Annually
2654;Free Shipping;Bi-Weekly
1450;Next Day Air;Weekly
2559;Standard;Weekly
269;2-Day Shipping;Weekly
1478;Express;Fortnightly
2419;Store Pickup;Annually
765;Store Pickup;Quarterly
1356;2-Day Shipping;Quarterly
196;2-Day Shipping;Bi-Weekly
953;2-Day Shipping;Fortnightly
2579;2-Day Shipping;Every 3 Months
3859;Free Shipping;Monthly
3144;Express;Weekly
1395;Store Pickup;Annually
631;2-Day Shipping;Annually
551;Free Shipping;Annually
3866;Express;Weekly
2244;2-Day Shipping;Bi-Weekly
832;Free Shipping;Every 3 Months
2983;Free Shipping;Fortnightly
3253;Store Pickup;Bi-Weekly
3806;Free Shipping;Weekly
2786;Next Day Air;Weekly
922;Express;Quarterly
1246;Next Day Air;Fortnightly
70;Free Shipping;Monthly
2632;Standard;Quarterly
1859;Next Day Air;Monthly
1689;2-Day Shipping;Monthly
3245;2-Day Shipping;Quarterly
3277;Store Pickup;Bi-Weekly
2470;2-Day Shipping;Quarterly
3427;Store Pickup;Bi-Weekly
3188;Store Pickup;Annually
114;Express;Every 3 Months
1947;Store Pickup;Every 3 Months
3056;Express;Fortnightly
2602;2-Day Shipping;Fortnightly
2562;Store Pickup;Weekly
3133;2-Day Shipping;Weekly
2917;Express;Weekly
3761;Express;Weekly
1742;Express;Weekly
143;Express;Fortnightly
1660;Store Pickup;Bi-Weekly
2716;Free Shipping;Fortnightly
991;Next Day Air;Weekly
2146;Store Pickup;Weekly
637;Standard;Annually
3123;Standard;Fortnightly
2650;Next Day Air;Monthly
1622;Free Shipping;Fortnightly
3768;Standard;Bi-Weekly
949;Standard;Annually
2508;Express;Bi-Weekly
1570;Free Shipping;Weekly
1649;Free Shipping;Quarterly
1037;2-Day Shipping;Every 3 Months
2156;Express;Weekly
912;Free Shipping;Weekly
3151;Express;Every 3 Months
1217;Next Day Air;Quarterly
170;Express;Monthly
3292;Express;Quarterly
386;Standard;Annually
1351;Free Shipping;Bi-Weekly
1880;Express;Monthly
322;Next Day Air;Weekly
3526;Express;Annually
2285;2-Day Shipping;Weekly
537;Express;Every 3 Months
2965;2-Day Shipping;Quarterly
312;Express;Annually
992;Free Shipping;Every 3 Months
1606;Free Shipping;Monthly
3054;2-Day Shipping;Fortnightly
862;2-Day Shipping;Fortnightly
185;2-Day Shipping;Quarterly
2805;2-Day Shipping;Monthly
1886;Free Shipping;Monthly
1662;Next Day Air;Quarterly
1724;Store Pickup;Annually
2819;Store Pickup;Every 3 Months
