Shippment_ID;Shipping_Type;Frequency_of_Purchases
970;Next Day Air;Weekly
971;Store Pickup;Bi-Weekly
972;Standard;Every 3 Months
973;Store Pickup;Quarterly
974;Next Day Air;Bi-Weekly
975;Standard;Quarterly
976;Free Shipping;Quarterly
977;Express;Bi-Weekly
978;Free Shipping;Monthly
979;Express;Annually
980;Standard;Fortnightly
981;Express;Monthly
982;Next Day Air;Weekly
983;Next Day Air;Weekly
984;Next Day Air;Bi-Weekly
985;Standard;Monthly
986;Express;Fortnightly
987;2-Day Shipping;Fortnightly
988;Next Day Air;Bi-Weekly
989;Store Pickup;Every 3 Months
990;Next Day Air;Fortnightly
991;Next Day Air;Weekly
992;Free Shipping;Every 3 Months
993;Next Day Air;Quarterly
994;Store Pickup;Weekly
995;Store Pickup;Quarterly
996;Express;Fortnightly
997;Free Shipping;Monthly
998;2-Day Shipping;Bi-Weekly
999;2-Day Shipping;Weekly
1000;Express;Annually
1001;Free Shipping;Every 3 Months
1002;2-Day Shipping;Every 3 Months
1003;Express;Weekly
1004;Next Day Air;Every 3 Months
1005;Standard;Weekly
1006;Standard;Monthly
1007;Free Shipping;Bi-Weekly
1008;Express;Weekly
1009;Express;Bi-Weekly
1010;Store Pickup;Quarterly
1011;Express;Bi-Weekly
1012;2-Day Shipping;Monthly
1013;Standard;Bi-Weekly
1014;Next Day Air;Bi-Weekly
1015;Express;Quarterly
1016;Next Day Air;Every 3 Months
1017;2-Day Shipping;Quarterly
1018;Next Day Air;Every 3 Months
1019;Express;Bi-Weekly
1020;Express;Quarterly
1021;Standard;Annually
1022;2-Day Shipping;Every 3 Months
1023;Store Pickup;Monthly
1024;Standard;Quarterly
1025;Free Shipping;Quarterly
1026;Store Pickup;Annually
1027;Express;Annually
1028;Express;Fortnightly
1029;Next Day Air;Bi-Weekly
1030;Express;Every 3 Months
1031;Free Shipping;Weekly
1032;Express;Weekly
1033;Next Day Air;Fortnightly
1034;2-Day Shipping;Monthly
1035;Next Day Air;Weekly
1036;Store Pickup;Every 3 Months
1037;2-Day Shipping;Every 3 Months
1038;Next Day Air;Monthly
1039;Free Shipping;Weekly
1040;Standard;Fortnightly
1041;Standard;Annually
1042;2-Day Shipping;Weekly
1043;Standard;Bi-Weekly
1044;Standard;Bi-Weekly
1045;Standard;Fortnightly
1046;Express;Annually
1047;Standard;Annually
1048;Express;Bi-Weekly
1049;2-Day Shipping;Every 3 Months
1050;Standard;Bi-Weekly
1051;Next Day Air;Bi-Weekly
1052;Free Shipping;Bi-Weekly
1053;2-Day Shipping;Fortnightly
1054;Express;Weekly
1055;2-Day Shipping;Quarterly
1056;Next Day Air;Fortnightly
1057;Store Pickup;Annually
1058;Next Day Air;Bi-Weekly
1059;Standard;Every 3 Months
1060;Free Shipping;Weekly
1061;Express;Bi-Weekly
1062;Free Shipping;Monthly
1063;Express;Quarterly
1064;Next Day Air;Every 3 Months
1065;Next Day Air;Weekly
1066;Standard;Fortnightly
1067;2-Day Shipping;Monthly
1068;2-Day Shipping;Quarterly
1069;Standard;Monthly
1070;2-Day Shipping;Every 3 Months
1071;Express;Weekly
1072;Next Day Air;Quarterly
1073;Express;Every 3 Months
1074;2-Day Shipping;Monthly
1075;Standard;Monthly
1076;Store Pickup;Bi-Weekly
1077;2-Day Shipping;Quarterly
1078;Next Day Air;Weekly
1079;2-Day Shipping;Fortnightly
1080;Next Day Air;Every 3 Months
1081;Store Pickup;Every 3 Months
1082;2-Day Shipping;Every 3 Months
1083;Standard;Every 3 Months
1084;Store Pickup;Fortnightly
1085;Next Day Air;Monthly
1086;Next Day Air;Monthly
1087;Free Shipping;Every 3 Months
1088;Free Shipping;Bi-Weekly
1089;2-Day Shipping;Annually
1090;Next Day Air;Annually
1091;Store Pickup;Quarterly
1092;Standard;Bi-Weekly
1093;2-Day Shipping;Bi-Weekly
1094;Standard;Monthly
1095;2-Day Shipping;Annually
1096;Standard;Weekly
1097;Store Pickup;Fortnightly
1098;Standard;Fortnightly
1099;Store Pickup;Bi-Weekly
1100;Store Pickup;Monthly
1101;2-Day Shipping;Weekly
1102;2-Day Shipping;Weekly
1103;Store Pickup;Monthly
1104;Express;Annually
1105;Free Shipping;Monthly
1106;Next Day Air;Every 3 Months
1107;2-Day Shipping;Every 3 Months
1108;Standard;Bi-Weekly
1109;Express;Monthly
1110;Store Pickup;Quarterly
1111;Next Day Air;Weekly
1112;Store Pickup;Bi-Weekly
1113;Express;Fortnightly
1114;Standard;Monthly
1115;Standard;Every 3 Months
1116;Free Shipping;Weekly
1117;Express;Quarterly
1118;Express;Weekly
1119;Standard;Monthly
1120;Free Shipping;Annually
1121;Store Pickup;Quarterly
1122;Store Pickup;Monthly
1123;Express;Weekly
1124;Standard;Weekly
1125;Standard;Weekly
1126;Standard;Annually
1127;Next Day Air;Monthly
1128;Standard;Fortnightly
1129;2-Day Shipping;Monthly
1130;Free Shipping;Quarterly
1131;Free Shipping;Every 3 Months
1132;Standard;Quarterly
1133;Standard;Quarterly
1134;Store Pickup;Monthly
1135;Store Pickup;Quarterly
1136;Free Shipping;Bi-Weekly
1137;Free Shipping;Annually
1138;Next Day Air;Annually
1139;Store Pickup;Weekly
1140;Free Shipping;Annually
1141;Express;Fortnightly
1142;Store Pickup;Bi-Weekly
1143;Express;Weekly
1144;Next Day Air;Quarterly
1145;Free Shipping;Monthly
1146;Free Shipping;Every 3 Months
1147;Standard;Fortnightly
1148;2-Day Shipping;Bi-Weekly
1149;Store Pickup;Every 3 Months
1150;2-Day Shipping;Monthly
1151;Free Shipping;Weekly
1152;Next Day Air;Quarterly
1153;Express;Monthly
1154;Store Pickup;Monthly
1155;Express;Every 3 Months
1156;Free Shipping;Fortnightly
1157;Free Shipping;Monthly
1158;Store Pickup;Fortnightly
1159;Express;Fortnightly
1160;Express;Quarterly
1161;Standard;Quarterly
1162;Store Pickup;Fortnightly
1163;2-Day Shipping;Bi-Weekly
1164;Express;Quarterly
1165;Next Day Air;Quarterly
1166;Next Day Air;Every 3 Months
1167;Standard;Every 3 Months
1168;Store Pickup;Every 3 Months
1169;Next Day Air;Bi-Weekly
1170;Standard;Annually
1171;2-Day Shipping;Bi-Weekly
1172;Store Pickup;Annually
1173;2-Day Shipping;Bi-Weekly
1174;Free Shipping;Quarterly
1175;Free Shipping;Every 3 Months
1176;Standard;Weekly
1177;2-Day Shipping;Bi-Weekly
1178;Express;Monthly
1179;Store Pickup;Quarterly
1180;Express;Weekly
1181;Express;Annually
1182;Express;Bi-Weekly
1183;Free Shipping;Weekly
1184;Express;Fortnightly
1185;Standard;Weekly
1186;Standard;Quarterly
1187;2-Day Shipping;Bi-Weekly
1188;Store Pickup;Annually
1189;Free Shipping;Annually
1190;Free Shipping;Annually
1191;Express;Quarterly
1192;Next Day Air;Annually
1193;Standard;Bi-Weekly
1194;Store Pickup;Bi-Weekly
1195;Store Pickup;Bi-Weekly
1196;Free Shipping;Annually
1197;2-Day Shipping;Quarterly
1198;Next Day Air;Every 3 Months
1199;Standard;Bi-Weekly
1200;Next Day Air;Fortnightly
1201;Express;Annually
1202;Store Pickup;Annually
1203;Express;Quarterly
1204;Express;Annually
1205;Express;Monthly
1206;Next Day Air;Every 3 Months
1207;Store Pickup;Every 3 Months
1208;2-Day Shipping;Bi-Weekly
1209;Express;Weekly
1210;2-Day Shipping;Bi-Weekly
1211;Next Day Air;Every 3 Months
1212;Standard;Quarterly
1213;2-Day Shipping;Every 3 Months
1214;2-Day Shipping;Annually
1215;Store Pickup;Weekly
1216;2-Day Shipping;Bi-Weekly
1217;Next Day Air;Quarterly
1218;Store Pickup;Fortnightly
1219;Next Day Air;Fortnightly
1220;Next Day Air;Weekly
1221;Standard;Fortnightly
1222;2-Day Shipping;Every 3 Months
1223;Standard;Fortnightly
1224;Express;Every 3 Months
1225;Standard;Fortnightly
1226;Free Shipping;Annually
1227;Express;Weekly
1228;2-Day Shipping;Weekly
1229;Store Pickup;Weekly
1230;Express;Annually
1231;Next Day Air;Monthly
1232;Free Shipping;Quarterly
1233;Next Day Air;Bi-Weekly
1234;Standard;Annually
1235;2-Day Shipping;Bi-Weekly
1236;Free Shipping;Every 3 Months
1237;2-Day Shipping;Monthly
1238;Standard;Quarterly
1239;Free Shipping;Monthly
1240;Free Shipping;Weekly
1241;Express;Weekly
1242;2-Day Shipping;Bi-Weekly
1243;Standard;Monthly
1244;Next Day Air;Annually
1245;2-Day Shipping;Annually
1246;Next Day Air;Fortnightly
1247;Standard;Bi-Weekly
1248;Store Pickup;Weekly
1249;Store Pickup;Annually
1250;Next Day Air;Monthly
1251;Express;Monthly
1252;Express;Annually
1253;2-Day Shipping;Every 3 Months
1254;Store Pickup;Monthly
1255;Free Shipping;Bi-Weekly
1256;Standard;Monthly
1257;Store Pickup;Every 3 Months
1258;Store Pickup;Bi-Weekly
1259;Store Pickup;Every 3 Months
1260;Standard;Annually
1261;2-Day Shipping;Monthly
1262;2-Day Shipping;Fortnightly
1263;Store Pickup;Fortnightly
1264;Store Pickup;Every 3 Months
1265;Store Pickup;Monthly
1266;Standard;Every 3 Months
1267;2-Day Shipping;Fortnightly
1268;2-Day Shipping;Fortnightly
1269;Standard;Bi-Weekly
1270;Store Pickup;Quarterly
1271;Next Day Air;Quarterly
1272;Express;Every 3 Months
1273;Free Shipping;Every 3 Months
1274;Free Shipping;Annually
1275;Next Day Air;Fortnightly
1276;Free Shipping;Bi-Weekly
1277;Standard;Annually
1278;2-Day Shipping;Bi-Weekly
1279;Free Shipping;Weekly
1280;2-Day Shipping;Every 3 Months
1281;Express;Bi-Weekly
1282;Next Day Air;Every 3 Months
1283;Standard;Weekly
1284;2-Day Shipping;Every 3 Months
1285;Store Pickup;Monthly
1286;Free Shipping;Weekly
1287;Free Shipping;Bi-Weekly
1288;Next Day Air;Annually
1289;2-Day Shipping;Weekly
1290;Next Day Air;Annually
1291;Store Pickup;Bi-Weekly
1292;2-Day Shipping;Annually
1293;Standard;Weekly
1294;Express;Annually
1295;Store Pickup;Monthly
1296;2-Day Shipping;Quarterly
1297;Express;Annually
1298;Free Shipping;Annually
1299;Next Day Air;Fortnightly
1300;Next Day Air;Monthly
1301;Standard;Bi-Weekly
1302;Express;Fortnightly
1303;Store Pickup;Weekly
1304;2-Day Shipping;Every 3 Months
1305;Store Pickup;Bi-Weekly
1306;Next Day Air;Annually
1307;Free Shipping;Quarterly
1308;Express;Every 3 Months
1309;Next Day Air;Bi-Weekly
1310;2-Day Shipping;Every 3 Months
1311;Store Pickup;Weekly
1312;Standard;Bi-Weekly
1313;Store Pickup;Annually
1314;2-Day Shipping;Bi-Weekly
1315;Next Day Air;Bi-Weekly
1316;Express;Monthly
1317;2-Day Shipping;Every 3 Months
1318;Free Shipping;Fortnightly
1319;Store Pickup;Weekly
1320;Express;Monthly
1321;Express;Every 3 Months
1322;Next Day Air;Every 3 Months
1323;Express;Monthly
1324;2-Day Shipping;Annually
1325;Standard;Annually
1326;Next Day Air;Bi-Weekly
1327;Standard;Monthly
1328;Express;Bi-Weekly
1329;Next Day Air;Annually
1330;Store Pickup;Annually
1331;2-Day Shipping;Every 3 Months
1332;Free Shipping;Weekly
1333;Next Day Air;Annually
1334;Express;Every 3 Months
1335;Free Shipping;Every 3 Months
1336;Standard;Annually
1337;Express;Monthly
1338;Express;Bi-Weekly
1339;Express;Annually
1340;2-Day Shipping;Fortnightly
1341;Express;Annually
1342;Next Day Air;Quarterly
1343;Free Shipping;Monthly
1344;Next Day Air;Quarterly
1345;Next Day Air;Quarterly
1346;2-Day Shipping;Fortnightly
1347;Express;Every 3 Months
1348;Standard;Monthly
1349;Free Shipping;Fortnightly
1350;Free Shipping;Annually
1351;Free Shipping;Bi-Weekly
1352;Express;Fortnightly
1353;Free Shipping;Annually
1354;Express;Quarterly
1355;2-Day Shipping;Annually
1356;2-Day Shipping;Quarterly
1357;Express;Monthly
1358;Store Pickup;Bi-Weekly
1359;Free Shipping;Every 3 Months
1360;Store Pickup;Fortnightly
1361;Free Shipping;Fortnightly
1362;2-Day Shipping;Quarterly
1363;Free Shipping;Every 3 Months
1364;Store Pickup;Fortnightly
1365;Express;Monthly
1366;Store Pickup;Fortnightly
1367;Next Day Air;Quarterly
1368;2-Day Shipping;Annually
1369;2-Day Shipping;Every 3 Months
1370;Store Pickup;Every 3 Months
1371;Free Shipping;Monthly
1372;Standard;Fortnightly
1373;Express;Quarterly
1374;2-Day Shipping;Quarterly
1375;Free Shipping;Monthly
1376;Store Pickup;Fortnightly
1377;Store Pickup;Monthly
1378;Free Shipping;Annually
1379;Store Pickup;Every 3 Months
1380;Store Pickup;Annually
1381;Next Day Air;Monthly
1382;Standard;Annually
1383;Next Day Air;Quarterly
1384;Standard;Monthly
1385;Next Day Air;Every 3 Months
1386;Next Day Air;Fortnightly
1387;Express;Fortnightly
1388;Express;Fortnightly
1389;Next Day Air;Fortnightly
1390;Standard;Annually
1391;Express;Bi-Weekly
1392;Standard;Every 3 Months
1393;Standard;Monthly
1394;Store Pickup;Fortnightly
1395;Store Pickup;Annually
1396;Next Day Air;Bi-Weekly
1397;Express;Weekly
1398;Standard;Weekly
1399;Next Day Air;Annually
1400;Store Pickup;Every 3 Months
1401;Express;Monthly
1402;Next Day Air;Monthly
1403;2-Day Shipping;Quarterly
1404;Standard;Fortnightly
1405;Store Pickup;Every 3 Months
1406;Express;Annually
1407;2-Day Shipping;Weekly
1408;2-Day Shipping;Weekly
1409;Express;Bi-Weekly
1410;Standard;Annually
1411;Store Pickup;Annually
1412;Next Day Air;Quarterly
1413;2-Day Shipping;Monthly
1414;Express;Monthly
1415;Express;Bi-Weekly
1416;2-Day Shipping;Quarterly
1417;2-Day Shipping;Quarterly
1418;Express;Quarterly
1419;Express;Monthly
1420;Express;Weekly
1421;Next Day Air;Bi-Weekly
1422;2-Day Shipping;Fortnightly
1423;Free Shipping;Annually
1424;2-Day Shipping;Bi-Weekly
1425;Free Shipping;Quarterly
1426;Store Pickup;Bi-Weekly
1427;Store Pickup;Every 3 Months
1428;Express;Bi-Weekly
1429;Express;Bi-Weekly
1430;Express;Quarterly
1431;Store Pickup;Monthly
1432;Free Shipping;Annually
1433;2-Day Shipping;Bi-Weekly
1434;Store Pickup;Annually
1435;Store Pickup;Every 3 Months
1436;Next Day Air;Every 3 Months
1437;Standard;Weekly
1438;Store Pickup;Monthly
1439;Standard;Weekly
1440;Standard;Every 3 Months
1441;2-Day Shipping;Annually
1442;Express;Every 3 Months
1443;Store Pickup;Bi-Weekly
1444;Store Pickup;Weekly
1445;Standard;Fortnightly
1446;Free Shipping;Weekly
1447;2-Day Shipping;Fortnightly
1448;2-Day Shipping;Weekly
1449;Free Shipping;Annually
1450;Next Day Air;Weekly
1451;Express;Monthly
1452;Store Pickup;Bi-Weekly
1453;Free Shipping;Bi-Weekly
1454;Free Shipping;Bi-Weekly
1455;Store Pickup;Quarterly
1456;2-Day Shipping;Fortnightly
1457;Store Pickup;Annually
1458;Store Pickup;Every 3 Months
1459;Store Pickup;Fortnightly
1460;Store Pickup;Fortnightly
1461;Free Shipping;Annually
1462;Free Shipping;Annually
1463;Free Shipping;Annually
1464;Next Day Air;Bi-Weekly
1465;Store Pickup;Quarterly
1466;Standard;Fortnightly
1467;Store Pickup;Quarterly
1468;Free Shipping;Bi-Weekly
1469;Store Pickup;Bi-Weekly
1470;2-Day Shipping;Weekly
1471;Next Day Air;Every 3 Months
1472;Standard;Quarterly
1473;Free Shipping;Annually
1474;Free Shipping;Monthly
1475;Express;Bi-Weekly
1476;Express;Bi-Weekly
1477;Free Shipping;Annually
1478;Express;Fortnightly
1479;Free Shipping;Quarterly
1480;2-Day Shipping;Bi-Weekly
1481;Next Day Air;Weekly
1482;Next Day Air;Fortnightly
1483;Express;Fortnightly
1484;Express;Fortnightly
1485;Next Day Air;Monthly
1486;Standard;Quarterly
1487;Free Shipping;Annually
1488;Next Day Air;Quarterly
1489;Express;Annually
1490;Store Pickup;Bi-Weekly
1491;Next Day Air;Monthly
1492;Express;Quarterly
1493;Free Shipping;Fortnightly
1494;Free Shipping;Monthly
1495;Free Shipping;Bi-Weekly
1496;2-Day Shipping;Quarterly
1497;Express;Quarterly
1498;Store Pickup;Weekly
1499;Free Shipping;Every 3 Months
1500;Free Shipping;Annually
1501;Express;Fortnightly
1502;Free Shipping;Every 3 Months
1503;Express;Annually
1504;Store Pickup;Every 3 Months
1505;Express;Bi-Weekly
1506;Free Shipping;Weekly
1507;Standard;Weekly
1508;2-Day Shipping;Bi-Weekly
1509;2-Day Shipping;Every 3 Months
1510;Store Pickup;Bi-Weekly
1511;Next Day Air;Weekly
1512;Free Shipping;Bi-Weekly
1513;Standard;Annually
1514;2-Day Shipping;Fortnightly
1515;Next Day Air;Quarterly
1516;Store Pickup;Fortnightly
1517;Free Shipping;Fortnightly
1518;Express;Quarterly
1519;2-Day Shipping;Quarterly
1520;2-Day Shipping;Monthly
1521;Store Pickup;Every 3 Months
1522;Standard;Fortnightly
1523;Store Pickup;Fortnightly
1524;Next Day Air;Every 3 Months
1525;Next Day Air;Every 3 Months
1526;Store Pickup;Quarterly
1527;Standard;Every 3 Months
1528;Standard;Every 3 Months
1529;Store Pickup;Monthly
1530;Free Shipping;Annually
1531;2-Day Shipping;Every 3 Months
1532;Free Shipping;Quarterly
1533;Standard;Quarterly
1534;2-Day Shipping;Annually
1535;Store Pickup;Weekly
1536;Express;Weekly
1537;Express;Weekly
1538;2-Day Shipping;Quarterly
1539;Free Shipping;Bi-Weekly
1540;Free Shipping;Monthly
1541;Store Pickup;Monthly
1542;Free Shipping;Weekly
1543;Store Pickup;Quarterly
1544;Express;Fortnightly
1545;Store Pickup;Bi-Weekly
1546;Express;Every 3 Months
1547;Free Shipping;Quarterly
1548;Free Shipping;Weekly
1549;Next Day Air;Bi-Weekly
1550;Store Pickup;Every 3 Months
1551;Express;Monthly
1552;Standard;Weekly
1553;Store Pickup;Fortnightly
1554;Standard;Annually
1555;Standard;Annually
1556;Store Pickup;Monthly
1557;Store Pickup;Monthly
1558;Next Day Air;Annually
1559;Free Shipping;Quarterly
1560;Standard;Fortnightly
1561;Standard;Bi-Weekly
1562;Free Shipping;Monthly
1563;Next Day Air;Every 3 Months
1564;2-Day Shipping;Weekly
1565;Standard;Every 3 Months
1566;Store Pickup;Monthly
1567;2-Day Shipping;Monthly
1568;Next Day Air;Bi-Weekly
1569;Standard;Fortnightly
1570;Free Shipping;Weekly
1571;Next Day Air;Monthly
1572;Free Shipping;Fortnightly
1573;Free Shipping;Annually
1574;Express;Bi-Weekly
1575;Standard;Every 3 Months
1576;Next Day Air;Monthly
1577;Store Pickup;Every 3 Months
1578;Free Shipping;Weekly
1579;Express;Bi-Weekly
1580;Next Day Air;Every 3 Months
1581;Standard;Bi-Weekly
1582;Standard;Every 3 Months
1583;Next Day Air;Weekly
1584;2-Day Shipping;Annually
1585;Free Shipping;Every 3 Months
1586;2-Day Shipping;Quarterly
1587;2-Day Shipping;Quarterly
1588;2-Day Shipping;Monthly
1589;Store Pickup;Fortnightly
1590;Express;Bi-Weekly
1591;Next Day Air;Weekly
1592;Free Shipping;Weekly
1593;Next Day Air;Weekly
1594;Express;Every 3 Months
1595;Standard;Fortnightly
1596;Express;Weekly
1597;2-Day Shipping;Every 3 Months
1598;Standard;Every 3 Months
1599;Store Pickup;Bi-Weekly
1600;Express;Annually
1601;Express;Bi-Weekly
1602;Standard;Quarterly
1603;Store Pickup;Bi-Weekly
1604;Next Day Air;Every 3 Months
1605;Standard;Monthly
1606;Free Shipping;Monthly
1607;Express;Monthly
1608;Free Shipping;Weekly
1609;Standard;Bi-Weekly
1610;Standard;Every 3 Months
1611;Standard;Fortnightly
1612;Store Pickup;Quarterly
1613;Express;Annually
1614;Free Shipping;Quarterly
1615;Express;Fortnightly
1616;Store Pickup;Bi-Weekly
1617;Store Pickup;Every 3 Months
1618;Express;Monthly
1619;Free Shipping;Quarterly
1620;Next Day Air;Quarterly
1621;Next Day Air;Weekly
1622;Free Shipping;Fortnightly
1623;Store Pickup;Weekly
1624;Express;Bi-Weekly
1625;2-Day Shipping;Weekly
1626;Store Pickup;Quarterly
1627;Free Shipping;Quarterly
1628;Next Day Air;Every 3 Months
1629;Express;Bi-Weekly
1630;Store Pickup;Annually
1631;Free Shipping;Weekly
1632;Store Pickup;Bi-Weekly
1633;Standard;Quarterly
1634;Standard;Bi-Weekly
1635;Express;Every 3 Months
1636;Store Pickup;Quarterly
1637;Standard;Quarterly
1638;Store Pickup;Annually
1639;2-Day Shipping;Bi-Weekly
1640;2-Day Shipping;Quarterly
1641;Next Day Air;Bi-Weekly
1642;Store Pickup;Fortnightly
1643;Store Pickup;Fortnightly
1644;Free Shipping;Weekly
1645;Next Day Air;Every 3 Months
1646;Express;Fortnightly
1647;Store Pickup;Annually
1648;2-Day Shipping;Quarterly
1649;Free Shipping;Quarterly
1650;Express;Weekly
1651;Standard;Every 3 Months
1652;Express;Bi-Weekly
1653;Free Shipping;Bi-Weekly
1654;Express;Fortnightly
1655;2-Day Shipping;Annually
1656;2-Day Shipping;Fortnightly
1657;Next Day Air;Fortnightly
1658;Next Day Air;Every 3 Months
1659;Next Day Air;Quarterly
1660;Store Pickup;Bi-Weekly
1661;Standard;Bi-Weekly
1662;Next Day Air;Quarterly
1663;Store Pickup;Fortnightly
1664;Express;Monthly
1665;Next Day Air;Annually
1666;Store Pickup;Bi-Weekly
1667;Express;Every 3 Months
1668;2-Day Shipping;Quarterly
1669;Store Pickup;Annually
1670;Free Shipping;Weekly
1671;2-Day Shipping;Fortnightly
1672;Standard;Fortnightly
1673;Free Shipping;Quarterly
1674;2-Day Shipping;Fortnightly
1675;Store Pickup;Weekly
1676;Express;Fortnightly
1677;Standard;Weekly
1678;Free Shipping;Fortnightly
1679;Free Shipping;Fortnightly
1680;Store Pickup;Bi-Weekly
1681;Standard;Fortnightly
1682;2-Day Shipping;Every 3 Months
1683;Store Pickup;Monthly
1684;Next Day Air;Monthly
1685;Standard;Annually
1686;2-Day Shipping;Annually
1687;Store Pickup;Weekly
1688;Next Day Air;Quarterly
1689;2-Day Shipping;Monthly
1690;Standard;Quarterly
1691;Next Day Air;Monthly
1692;Next Day Air;Weekly
1693;Express;Fortnightly
1694;Express;Fortnightly
1695;Express;Monthly
1696;Standard;Fortnightly
1697;Next Day Air;Bi-Weekly
1698;Next Day Air;Monthly
1699;Next Day Air;Fortnightly
1700;Next Day Air;Every 3 Months
1701;Store Pickup;Fortnightly
1702;2-Day Shipping;Quarterly
1703;Express;Annually
1704;2-Day Shipping;Fortnightly
1705;Standard;Fortnightly
1706;Store Pickup;Every 3 Months
1707;Express;Fortnightly
1708;Standard;Monthly
1709;Express;Fortnightly
1710;Store Pickup;Every 3 Months
1711;Next Day Air;Annually
1712;Free Shipping;Bi-Weekly
1713;Free Shipping;Quarterly
1714;2-Day Shipping;Monthly
1715;Next Day Air;Annually
1716;2-Day Shipping;Every 3 Months
1717;2-Day Shipping;Monthly
1718;Standard;Fortnightly
1719;Express;Bi-Weekly
1720;Store Pickup;Weekly
1721;Next Day Air;Annually
1722;Free Shipping;Bi-Weekly
1723;Store Pickup;Weekly
1724;Store Pickup;Annually
1725;Free Shipping;Quarterly
1726;Express;Fortnightly
1727;2-Day Shipping;Annually
1728;2-Day Shipping;Bi-Weekly
1729;Express;Every 3 Months
1730;Store Pickup;Fortnightly
1731;Free Shipping;Annually
1732;Free Shipping;Every 3 Months
1733;2-Day Shipping;Every 3 Months
1734;Standard;Weekly
1735;Next Day Air;Weekly
1736;Express;Bi-Weekly
1737;2-Day Shipping;Quarterly
1738;2-Day Shipping;Every 3 Months
1739;Free Shipping;Annually
1740;Standard;Every 3 Months
1741;Next Day Air;Quarterly
1742;Express;Weekly
1743;Next Day Air;Annually
1744;Express;Fortnightly
1745;Next Day Air;Bi-Weekly
1746;2-Day Shipping;Fortnightly
1747;Next Day Air;Every 3 Months
1748;Store Pickup;Monthly
1749;Next Day Air;Quarterly
1750;Store Pickup;Quarterly
1751;Store Pickup;Every 3 Months
1752;Standard;Fortnightly
1753;Store Pickup;Annually
1754;2-Day Shipping;Bi-Weekly
1755;Free Shipping;Quarterly
1756;2-Day Shipping;Annually
1757;Standard;Fortnightly
1758;2-Day Shipping;Weekly
1759;Store Pickup;Every 3 Months
1760;Express;Fortnightly
1761;Next Day Air;Bi-Weekly
1762;Express;Quarterly
1763;2-Day Shipping;Quarterly
1764;Standard;Monthly
1765;2-Day Shipping;Quarterly
1766;Next Day Air;Monthly
1767;Standard;Bi-Weekly
1768;2-Day Shipping;Fortnightly
1769;Standard;Weekly
1770;Store Pickup;Bi-Weekly
1771;Free Shipping;Every 3 Months
1772;Express;Bi-Weekly
1773;2-Day Shipping;Monthly
1774;Free Shipping;Monthly
1775;Standard;Fortnightly
1776;Free Shipping;Fortnightly
1777;Free Shipping;Quarterly
1778;Standard;Quarterly
1779;Standard;Weekly
1780;Standard;Quarterly
1781;2-Day Shipping;Quarterly
1782;Standard;Bi-Weekly
1783;2-Day Shipping;Quarterly
1784;Standard;Fortnightly
1785;Free Shipping;Monthly
1786;Free Shipping;Weekly
1787;Store Pickup;Quarterly
1788;Next Day Air;Every 3 Months
1789;Express;Bi-Weekly
1790;2-Day Shipping;Monthly
1791;Next Day Air;Weekly
1792;Standard;Quarterly
1793;Standard;Bi-Weekly
1794;Free Shipping;Bi-Weekly
1795;Express;Every 3 Months
1796;Standard;Fortnightly
1797;2-Day Shipping;Monthly
1798;2-Day Shipping;Annually
1799;Express;Annually
1800;Store Pickup;Every 3 Months
1801;Express;Weekly
1802;Next Day Air;Fortnightly
1803;Free Shipping;Every 3 Months
1804;2-Day Shipping;Monthly
1805;Express;Monthly
1806;Free Shipping;Every 3 Months
1807;Store Pickup;Bi-Weekly
1808;Standard;Annually
1809;Free Shipping;Bi-Weekly
1810;Standard;Fortnightly
1811;Store Pickup;Monthly
1812;Standard;Annually
1813;Express;Weekly
1814;Standard;Monthly
1815;2-Day Shipping;Fortnightly
1816;Store Pickup;Quarterly
1817;Express;Fortnightly
1818;Standard;Every 3 Months
1819;Express;Annually
1820;Free Shipping;Fortnightly
1821;Free Shipping;Every 3 Months
1822;Free Shipping;Quarterly
1823;Standard;Monthly
1824;2-Day Shipping;Monthly
1825;Store Pickup;Bi-Weekly
1826;Store Pickup;Quarterly
1827;Standard;Monthly
1828;Free Shipping;Every 3 Months
1829;Express;Weekly
1830;Store Pickup;Bi-Weekly
1831;Express;Weekly
1832;Free Shipping;Monthly
1833;2-Day Shipping;Fortnightly
1834;Standard;Bi-Weekly
1835;Free Shipping;Quarterly
1836;2-Day Shipping;Weekly
1837;Next Day Air;Weekly
1838;Standard;Annually
1839;2-Day Shipping;Every 3 Months
1840;Standard;Fortnightly
1841;Store Pickup;Fortnightly
1842;Standard;Quarterly
1843;2-Day Shipping;Fortnightly
1844;Express;Annually
1845;Next Day Air;Fortnightly
1846;Store Pickup;Monthly
1847;Standard;Monthly
1848;Next Day Air;Monthly
1849;Express;Monthly
1850;Next Day Air;Bi-Weekly
1851;2-Day Shipping;Fortnightly
1852;Next Day Air;Quarterly
1853;Free Shipping;Monthly
1854;Express;Every 3 Months
1855;Free Shipping;Annually
1856;Free Shipping;Fortnightly
1857;Store Pickup;Every 3 Months
1858;Express;Annually
1859;Next Day Air;Monthly
1860;Standard;Bi-Weekly
1861;Free Shipping;Annually
1862;Express;Annually
1863;Express;Bi-Weekly
1864;Express;Fortnightly
1865;Free Shipping;Quarterly
1866;Free Shipping;Weekly
1867;Standard;Monthly
1868;Store Pickup;Every 3 Months
1869;Store Pickup;Fortnightly
1870;Next Day Air;Every 3 Months
1871;Standard;Quarterly
1872;Free Shipping;Annually
1873;Next Day Air;Annually
